,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
0,"{'lon': -79.87, 'lat': 43.26}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 30.87, 'feels_like': 20.7, 'temp_min': 28.4, 'temp_max': 33.01, 'pressure': 1008, 'humidity': 100}",2012.0,"{'speed': 11.41, 'deg': 180, 'gust': 19.46}",{'all': 90},1578281925,"{'type': 1, 'id': 818, 'country': 'CA', 'sunrise': 1578228697, 'sunset': 1578261443}",-18000,5969785,Hamilton,200,,
1,"{'lon': 73.08, 'lat': -0.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 84.33, 'feels_like': 87.33, 'temp_min': 84.33, 'temp_max': 84.33, 'pressure': 1012, 'humidity': 73, 'sea_level': 1012, 'grnd_level': 1011}",,"{'speed': 12.73, 'deg': 62}",{'all': 100},1578281926,"{'country': 'MV', 'sunrise': 1578272902, 'sunset': 1578316653}",18000,1282256,Hithadhoo,200,,
2,"{'lon': -155.08, 'lat': 19.71}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 64.42, 'feels_like': 65.48, 'temp_min': 48, 'temp_max': 71.6, 'pressure': 1021, 'humidity': 83}",8047.0,"{'speed': 3.36, 'deg': 240}",{'all': 90},1578281652,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1578243355, 'sunset': 1578282897}",-36000,5855927,Hilo,200,{'1h': 3.05},
3,"{'lon': -56.15, 'lat': 72.79}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': -30.44, 'feels_like': -46.25, 'temp_min': -30.44, 'temp_max': -30.44, 'pressure': 984, 'humidity': 96, 'sea_level': 984, 'grnd_level': 984}",,"{'speed': 15.59, 'deg': 358}",{'all': 94},1578281926,"{'country': 'GL', 'sunrise': 0, 'sunset': 0}",-10800,3418910,Upernavik,200,,
4,"{'lon': -73.48, 'lat': 45.36}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 13.95, 'feels_like': 5.97, 'temp_min': 6.8, 'temp_max': 19.99, 'pressure': 1014, 'humidity': 66}",14484.0,"{'speed': 3.36, 'deg': 340}",{'all': 1},1578281881,"{'type': 1, 'id': 820, 'country': 'CA', 'sunrise': 1578227598, 'sunset': 1578259475}",-18000,6138908,Saint-Philippe,200,,
5,"{'lon': -100.35, 'lat': 18.62}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 72.73, 'feels_like': 71.33, 'temp_min': 72.73, 'temp_max': 72.73, 'pressure': 1020, 'humidity': 48, 'sea_level': 1020, 'grnd_level': 954}",,"{'speed': 3.58, 'deg': 55}",{'all': 0},1578281926,"{'country': 'MX', 'sunrise': 1578230096, 'sunset': 1578269878}",-21600,3981460,Coahuayana,200,,
6,"{'lon': -68.59, 'lat': 70.47}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': -38.2, 'feels_like': -56.29, 'temp_min': -38.2, 'temp_max': -38.2, 'pressure': 992, 'humidity': 52}",14484.0,"{'speed': 19.46, 'deg': 290}",{'all': 1},1578281948,"{'type': 1, 'id': 776, 'country': 'CA', 'sunrise': 0, 'sunset': 0}",-18000,5924351,Clyde River,200,,
7,"{'lon': 147.06, 'lat': -42.78}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 72, 'feels_like': 63.99, 'temp_min': 68, 'temp_max': 75.99, 'pressure': 1019, 'humidity': 56}",10000.0,"{'speed': 17.22, 'deg': 160}",{'all': 20},1578281949,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1578249658, 'sunset': 1578304376}",39600,2155415,New Norfolk,200,,
8,"{'lon': 80.55, 'lat': 73.51}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 17.19, 'feels_like': 2.75, 'temp_min': 17.19, 'temp_max': 17.19, 'pressure': 976, 'humidity': 94, 'sea_level': 976, 'grnd_level': 977}",,"{'speed': 16.11, 'deg': 190}",{'all': 100},1578281949,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200,1507390,Dikson,200,,{'3h': 0.19}
9,"{'lon': 116.85, 'lat': -20.74}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 87.49, 'feels_like': 93.22, 'temp_min': 87.49, 'temp_max': 87.49, 'pressure': 1007, 'humidity': 64, 'sea_level': 1007, 'grnd_level': 1007}",,"{'speed': 6.98, 'deg': 81}",{'all': 100},1578281949,"{'country': 'AU', 'sunrise': 1578260259, 'sunset': 1578308279}",28800,6620339,Karratha,200,{'3h': 0.25},
10,"{'lon': -134.97, 'lat': -23.12}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 76.28, 'feels_like': 73.98, 'temp_min': 76.28, 'temp_max': 76.28, 'pressure': 1014, 'humidity': 76, 'sea_level': 1014, 'grnd_level': 1014}",,"{'speed': 16.04, 'deg': 107}",{'all': 52},1578281878,"{'country': 'PF', 'sunrise': 1578233999, 'sunset': 1578282598}",-32400,4030556,Rikitea,200,,
11,"{'lon': -121.92, 'lat': 36.62}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 48.85, 'feels_like': 45.07, 'temp_min': 42.01, 'temp_max': 55.4, 'pressure': 1033, 'humidity': 76}",16093.0,"{'speed': 3.36, 'deg': 310}",{'all': 1},1578281895,"{'type': 1, 'id': 4980, 'country': 'US', 'sunrise': 1578237616, 'sunset': 1578272715}",-28800,5380437,Pacific Grove,200,,
12,"{'lon': -80.82, 'lat': -5.56}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 71.82, 'feels_like': 73.11, 'temp_min': 71.82, 'temp_max': 71.82, 'pressure': 1015, 'humidity': 85, 'sea_level': 1015, 'grnd_level': 1014}",,"{'speed': 8.72, 'deg': 185}",{'all': 0},1578281928,"{'country': 'PE', 'sunrise': 1578222922, 'sunset': 1578267674}",-18000,3691954,Sechura,200,,
13,"{'lon': 169.85, 'lat': -46.28}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 52, 'feels_like': 36.19, 'temp_min': 52, 'temp_max': 52, 'pressure': 994, 'humidity': 70}",,"{'speed': 25.01, 'deg': 225, 'gust': 37}",{'all': 100},1578281878,"{'type': 3, 'id': 2000217, 'country': 'NZ', 'sunrise': 1578243399, 'sunset': 1578299691}",46800,2208248,Kaitangata,200,{'3h': 0.94},
14,"{'lon': 73.1, 'lat': 6.88}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 82.24, 'feels_like': 85.62, 'temp_min': 82.24, 'temp_max': 82.24, 'pressure': 1012, 'humidity': 77, 'sea_level': 1012, 'grnd_level': 1012}",,"{'speed': 11.65, 'deg': 75}",{'all': 31},1578281691,"{'country': 'MV', 'sunrise': 1578273645, 'sunset': 1578315900}",18000,1337612,Dhidhdhoo,200,,
15,"{'lon': -9.73, 'lat': 29.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 47.19, 'feels_like': 45.03, 'temp_min': 47.19, 'temp_max': 47.19, 'pressure': 1024, 'humidity': 87, 'sea_level': 1024, 'grnd_level': 932}",,"{'speed': 1.19, 'deg': 49}",{'all': 0},1578281878,"{'country': 'MA', 'sunrise': 1578296092, 'sunset': 1578333224}",3600,2527089,Tiznit,200,,
16,"{'lon': -69.99, 'lat': -15.11}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,"{'temp': 38.68, 'feels_like': 33.62, 'temp_min': 38.68, 'temp_max': 38.68, 'pressure': 1018, 'humidity': 94, 'sea_level': 1018, 'grnd_level': 628}",,"{'speed': 4.09, 'deg': 270}",{'all': 100},1578281950,"{'country': 'PE', 'sunrise': 1578219320, 'sunset': 1578266076}",-18000,3931275,Chupa,200,{'3h': 5.38},
17,"{'lon': -51.17, 'lat': -0.03}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 77, 'feels_like': 86.67, 'temp_min': 77, 'temp_max': 77, 'pressure': 1012, 'humidity': 100}",10000.0,"{'speed': 3.36, 'deg': 30}",{'all': 20},1578281950,"{'type': 1, 'id': 8415, 'country': 'BR', 'sunrise': 1578302788, 'sunset': 1578346425}",-10800,3396016,Paraiso,200,,
18,"{'lon': 147.33, 'lat': -42.88}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 72.03, 'feels_like': 64.02, 'temp_min': 68, 'temp_max': 75.99, 'pressure': 1019, 'humidity': 56}",10000.0,"{'speed': 17.22, 'deg': 160}",{'all': 20},1578281929,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1578249572, 'sunset': 1578304332}",39600,2163355,Hobart,200,,
19,"{'lon': -68.31, 'lat': -54.81}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 46.4, 'feels_like': 30.36, 'temp_min': 46.4, 'temp_max': 46.4, 'pressure': 996, 'humidity': 75}",10000.0,"{'speed': 24.16, 'deg': 230}",{'all': 75},1578281929,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1578298001, 'sunset': 1578359441}",-10800,3833367,Ushuaia,200,,
20,"{'lon': -50.22, 'lat': -30.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 74.7, 'feels_like': 69.04, 'temp_min': 74.7, 'temp_max': 74.7, 'pressure': 1006, 'humidity': 84, 'sea_level': 1006, 'grnd_level': 1006}",,"{'speed': 23.15, 'deg': 31}",{'all': 0},1578281929,"{'country': 'BR', 'sunrise': 1578299169, 'sunset': 1578349587}",-10800,3466165,Cidreira,200,,
